provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
binanceus,BTC/USD,1h,2026-06-18,24,24,24,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,0.19,1,ok,
binanceus,BTC/USD,1d,2026-06-18,1,1,1,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.197,1,ok,
binanceus,BTC/USD,1d,2016-01-01_to_2026-06-18,3822,1882,1882,1940,0,49.2412,2019-09-17T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.651,2,ok,
binanceus,BTC/USDT,1m,2016-06-18,1440,0,0,1440,0,0.0,,,0.203,1,ok,
binanceus,BTC/USDT,1h,2016-06-18,24,0,0,24,0,0.0,,,0.218,1,ok,
binanceus,BTC/USDT,1d,2016-06-18,1,0,0,1,0,0.0,,,0.167,1,ok,
binanceus,BTC/USDT,1m,2020-01-01,1440,1440,1440,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:59:00+00:00,0.814,2,ok,
binanceus,BTC/USDT,1h,2020-01-01,24,24,24,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:00:00+00:00,0.481,1,ok,
binanceus,BTC/USDT,1d,2020-01-01,1,1,1,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,0.328,1,ok,
binanceus,BTC/USDT,1m,2024-01-01,1440,1440,1440,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T23:59:00+00:00,0.931,2,ok,
binanceus,BTC/USDT,1h,2024-01-01,24,24,24,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T23:00:00+00:00,0.31,1,ok,
binanceus,BTC/USDT,1d,2024-01-01,1,1,1,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.255,1,ok,
binanceus,BTC/USDT,1m,2026-06-18,1440,1440,1440,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:59:00+00:00,0.583,2,ok,
binanceus,BTC/USDT,1h,2026-06-18,24,24,24,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,0.2,1,ok,
binanceus,BTC/USDT,1d,2026-06-18,1,1,1,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.2,1,ok,
binanceus,BTC/USDT,1d,2016-01-01_to_2026-06-18,3822,2461,2461,1361,0,64.3904,2019-09-23T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.998,3,ok,
binanceus,BTC/EUR,1m,2016-06-18,1440,0,0,1440,0,0.0,,,0.206,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1h,2016-06-18,24,0,0,24,0,0.0,,,0.196,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1d,2016-06-18,1,0,0,1,0,0.0,,,0.208,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1m,2020-01-01,1440,0,0,1440,0,0.0,,,0.18,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1h,2020-01-01,24,0,0,24,0,0.0,,,0.164,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1d,2020-01-01,1,0,0,1,0,0.0,,,0.169,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1m,2024-01-01,1440,0,0,1440,0,0.0,,,0.162,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1h,2024-01-01,24,0,0,24,0,0.0,,,0.183,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1d,2024-01-01,1,0,0,1,0,0.0,,,0.16,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1m,2026-06-18,1440,0,0,1440,0,0.0,,,0.161,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1h,2026-06-18,24,0,0,24,0,0.0,,,0.171,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1d,2026-06-18,1,0,0,1,0,0.0,,,0.159,1,<HTTPError 400: 'Bad Request'>,
binanceus,BTC/EUR,1d,2016-01-01_to_2026-06-18,3822,0,0,3822,0,0.0,,,0.217,1,<HTTPError 400: 'Bad Request'>,
kraken_rest_ohlc,BTC/USD,1m,2016-06-18,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.307,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1h,2016-06-18,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.297,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1d,2016-06-18,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.331,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1m,2020-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.297,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1h,2020-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.301,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1d,2020-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.335,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1m,2024-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.278,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1h,2024-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.308,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1d,2024-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.317,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1m,2026-06-18,1440,0,0,1440,0,0.0,,,0.272,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1h,2026-06-18,24,0,0,24,0,0.0,,,0.274,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USD,1d,2026-06-18,1,0,0,1,0,0.0,,,0.266,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/USDT,1m,2016-06-18,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.284,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
